100000,1,0.153924
100000,2,0.138180
100000,3,0.103703
100000,4,0.109101
100000,5,0.118357
100000,6,0.127542
100000,7,0.134096
100000,8,0.132290
100000,9,0.130797
100000,10,0.149896
100000,11,0.146048
100000,12,0.130009
100000,13,0.134937
100000,14,0.147548
100000,15,0.135707
100000,16,0.147834
100000,17,0.145382
100000,18,0.138434
100000,19,0.145252
100000,20,0.141377
100000,21,0.149615
100000,22,0.134935
100000,23,0.136999
100000,24,0.161024
100000,25,0.145328
100000,26,0.143653
100000,27,0.143430
100000,28,0.146194
100000,29,0.149297
